Id	MSSubClass	MSZoning	LotFrontage	LotArea	Street	Alley	LotShape	LandContour	Utilities	LotConfig	LandSlope	Neighborhood	Condition1	Condition2	BldgType	HouseStyle	OverallQual	OverallCond	YearBuilt	YearRemodAdd	RoofStyle	RoofMatl	Exterior1st	Exterior2nd	MasVnrType	MasVnrArea	ExterQual	ExterCond	Foundation	BsmtQual	BsmtCond	BsmtExposure	BsmtFinType1	BsmtFinSF1	BsmtFinType2	BsmtFinSF2	BsmtUnfSF	TotalBsmtSF	Heating	HeatingQC	CentralAir	Electrical	1stFlrSF	2ndFlrSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	KitchenQual	TotRmsAbvGrd	Functional	Fireplaces	FireplaceQu	GarageType	GarageYrBlt	GarageFinish	GarageCars	GarageArea	GarageQual	GarageCond	PavedDrive	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	PoolQC	Fence	MiscFeature	MiscVal	MoSold	YrSold	SaleType	SaleCondition	SalePrice	logMS	loglot	logBsmt	logfin	loghalf	logtot	loggar	logdeck	logporch	logpool	logMisc	transMS	translot	transBsmt	transfin	lowqualSF	transhalf	transtot	transdeck	transporch	transpool	transMisc	transgar	gragecars	BrkTil	CBlock	PConc	Slab	Stone	Wood	_INTO_
11	20	RL	70	11200	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	5	1965	1965	Hip	CompShg	HdBoard	HdBoard	None	0	TA	TA	CBlock	TA	TA	No	Rec	906	Unf	0	134	1040	GasA	Ex	Y	SBrkr	1040	0	0	1040	1	0	1	0	3	1	TA	5	Typ	0	NA	Detchd	1965	Unf	1	384	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	2	2008	WD	Normal	129500	2.995732274	9.323669057	6.809039306			1.609437912	0					4.472135955	9.323758339	30.09983389			0	2.236067978	0	0	0	0	1		0.171357929	0.454702719	0.061198292	0.070660792	0.005782575	0.236297693	CBlock
12	60	RL	85	11924	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	2Story	9	5	2005	2006	Hip	CompShg	WdShing	Wd Shng	Stone	286	Ex	TA	PConc	Ex	TA	No	GLQ	998	Unf	0	177	1175	GasA	Ex	Y	SBrkr	1182	1142	0	2324	1	0	3	0	4	1	Ex	11	Typ	2	Gd	BuiltIn	2005	Fin	3	736	TA	TA	Y	147	21	0	0	0	0	NA	NA	NA	0	7	2006	New	Partial	345000	4.094344562	9.386308455	6.905753276			2.397895273	1.098612289	4.990432587	3.044522438			7.745966692	9.386392316	31.591138			0	3.31662479	12.12435565	4.582575695	0	0	1.732050808		0.018936397	0.034049274	0.227382868	0.014809119	0.067457539	0.637364804	Wood
13	20	RL	NA	12968	Pave	NA	IR2	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	6	1962	1962	Hip	CompShg	HdBoard	Plywood	None	0	TA	TA	CBlock	TA	TA	No	ALQ	737	Unf	0	175	912	GasA	TA	Y	SBrkr	912	0	0	912	1	0	1	0	2	1	TA	4	Typ	0	NA	Detchd	1962	Unf	1	352	TA	TA	Y	140	0	0	0	176	0	NA	NA	NA	0	9	2008	WD	Normal	144000	2.995732274	9.470240063	6.602587892			1.386294361	0	4.941642423				4.472135955	9.470317173	27.14774392			0	2	11.83215957	0	0	0	1		0.15845054	0.530510357	0.080373662	0.06731755	0.003496851	0.15985104	CBlock
14	20	RL	91	10652	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	CollgCr	Norm	Norm	1Fam	1Story	7	5	2006	2007	Gable	CompShg	VinylSd	VinylSd	Stone	306	Gd	TA	PConc	Gd	TA	Av	Unf	0	Unf	0	1494	1494	GasA	Ex	Y	SBrkr	1494	0	0	1494	0	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2006	RFn	3	840	TA	TA	Y	160	33	0	0	0	0	NA	NA	NA	0	8	2007	New	Partial	279500	2.995732274	9.273502947				1.945910149	1.098612289	5.075173815	3.496507562			4.472135955	9.273596822	0			0	2.645751311	12.64911064	5.744562647	0	0	1.732050808		0.077280137	0.084539093	0.50750516	0.164773554	0.067082611	0.098819444	PConc
15	20	RL	NA	10920	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	5	1960	1960	Hip	CompShg	MetalSd	MetalSd	BrkFace	212	TA	TA	CBlock	TA	TA	No	BLQ	733	Unf	0	520	1253	GasA	TA	Y	SBrkr	1253	0	0	1253	1	0	1	1	2	1	TA	5	Typ	1	Fa	Attchd	1960	RFn	1	352	TA	TA	Y	0	213	176	0	0	0	NA	GdWo	NA	0	5	2008	WD	Normal	157000	2.995732274	9.298351249	6.597145702			1.609437912	0		5.361292166			4.472135955	9.29844282	27.07397274			0	2.236067978	0	14.59451952	0	0	1		0.227184787	0.459149944	0.213571303	0.031860052	0.034152747	0.034081167	CBlock
16	45	RM	51	6120	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	BrkSide	Norm	Norm	1Fam	1.5Unf	7	8	1929	2001	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	BrkTil	TA	TA	No	Unf	0	Unf	0	832	832	GasA	Ex	Y	FuseA	854	0	0	854	0	0	1	0	2	1	TA	5	Typ	0	NA	Detchd	1991	Unf	2	576	TA	TA	Y	48	112	0	0	0	0	NA	GdPrv	NA	0	7	2007	WD	Normal	132000	3.80666249	8.719317376				1.609437912	0.693147181	3.871201011	4.718498871			6.708203933	8.719480761	0			0	2.236067978	6.92820323	10.58300524	0	0	1.414213562		0.178074333	0.185444884	0.368576284	0.176741008	0.064440288	0.026723203	PConc
17	20	RL	NA	11241	Pave	NA	IR1	Lvl	AllPub	CulDSac	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	7	1970	1970	Gable	CompShg	Wd Sdng	Wd Sdng	BrkFace	180	TA	TA	CBlock	TA	TA	No	ALQ	578	Unf	0	426	1004	GasA	Ex	Y	SBrkr	1004	0	0	1004	1	0	1	0	2	1	TA	5	Typ	1	TA	Attchd	1970	Fin	2	480	TA	TA	Y	0	0	0	0	0	0	NA	NA	Shed	700	3	2010	WD	Normal	149000	2.995732274	9.327323088	6.359573869			1.609437912	0.693147181				6.551080335	4.472135955	9.327412044	24.04163056			0	2.236067978	0	0	0	26.45751311	1.414213562		0.095205793	0.258112528	0.14097083	0.19019985	0.020287808	0.295223191	Wood
18	90	RL	72	10791	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	Duplex	1Story	4	5	1967	1967	Gable	CompShg	MetalSd	MetalSd	None	0	TA	TA	Slab	NA	NA	NA	NA	0	NA	0	0	0	GasA	TA	Y	SBrkr	1296	0	0	1296	0	0	2	0	2	2	TA	6	Typ	0	NA	CarPort	1967	Unf	2	516	TA	TA	Y	0	0	0	0	0	0	NA	NA	Shed	500	10	2006	WD	Normal	90000	4.49980967	9.286467732				1.791759469	0.693147181				6.214608098	9.486832981	9.286560398	0			0	2.449489743	0	0	0	22.36067978	1.414213562		0.1284638	0.107138945	0.115062071	0.443091634	0.136323266	0.069920284	Slab
19	20	RL	66	13695	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	SawyerW	RRAe	Norm	1Fam	1Story	5	5	2004	2004	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	PConc	TA	TA	No	GLQ	646	Unf	0	468	1114	GasA	Ex	Y	SBrkr	1114	0	0	1114	1	0	1	1	3	1	Gd	6	Typ	0	NA	Detchd	2004	Unf	2	576	TA	TA	Y	0	102	0	0	0	0	NA	NA	NA	0	6	2008	WD	Normal	159000	2.995732274	9.524786082	6.470799504			1.791759469	0.693147181		4.624972813			4.472135955	9.524859098	25.41653005			0	2.449489743	0	10.09950494	0	0	1.414213562		0.142995167	0.288313625	0.317007541	0.079773611	0.031968549	0.139941507	PConc
20	20	RL	70	7560	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NAmes	Norm	Norm	1Fam	1Story	5	6	1958	1965	Hip	CompShg	BrkFace	Plywood	None	0	TA	TA	CBlock	TA	TA	No	LwQ	504	Unf	0	525	1029	GasA	TA	Y	SBrkr	1339	0	0	1339	0	0	1	0	3	1	TA	6	Min1	0	NA	Attchd	1958	Unf	1	294	TA	TA	Y	0	0	0	0	0	0	NA	MnPrv	NA	0	5	2009	COD	Abnorml	139000	2.995732274	8.930626469	6.222576268			1.791759469	0					4.472135955	8.930758736	22.44994432			0	2.449489743	0	0	0	0	1		0.288484298	0.331420504	0.061826253	0.155155118	0.027047662	0.136066165	CBlock
21	60	RL	10	14215	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	2Story	8	5	2005	2006	Gable	CompShg	VinylSd	VinylSd	BrkFace	380	Gd	TA	PConc	Ex	TA	Av	Unf	0	Unf	0	1158	1158	GasA	Ex	Y	SBrkr	1158	1218	0	2376	0	0	3	1	4	1	Gd	9	Typ	1	Gd	BuiltIn	2005	RFn	3	853	TA	TA	Y	240	154	0	0	0	0	NA	NA	NA	0	11	2006	New	Partial	325300	4.094344562	9.562053024				2.197224577	1.098612289	5.480638923	5.036952602			7.745966692	9.56212337	0			0	3	15.49193339	12.40967365	0	0	1.732050808		0.040690263	0.030502449	0.529948771	0.038110149	0.334480281	0.026268088	PConc
22	45	RM	57	7449	Pave	Gr	Reg	Bnk	AllPub	Inside	Gtl	IDOTRR	Norm	Norm	1Fam	1.5Unf	7	7	1930	1950	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	PConc	TA	TA	No	Unf	0	Unf	0	637	637	GasA	Ex	Y	FuseF	1108	0	0	1108	0	0	1	0	3	1	Gd	6	Typ	1	Gd	Attchd	1930	Unf	1	280	TA	TA	N	0	0	205	0	0	0	NA	GdPrv	NA	0	6	2007	WD	Normal	139400	3.80666249	8.915835074				1.791759469	0					6.708203933	8.915969311	0			0	2.449489743	0	0	0	0	1		0.338948939	0.189270412	0.046470267	0.323008519	0.06540073	0.036901132	BrkTil
23	20	RL	75	9742	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	CollgCr	Norm	Norm	1Fam	1Story	8	5	2002	2002	Hip	CompShg	VinylSd	VinylSd	BrkFace	281	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1777	1777	GasA	Ex	Y	SBrkr	1795	0	0	1795	0	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2002	RFn	2	534	TA	TA	Y	171	159	0	0	0	0	NA	NA	NA	0	9	2008	WD	Normal	230000	2.995732274	9.184201714				1.945910149	0.693147181	5.141663557	5.068904202			4.472135955	9.184304357	0			0	2.645751311	13.07669683	12.60952021	0	0	1.414213562		0.167946513	0.129406142	0.387209874	0.082229312	0.208664279	0.024543881	PConc
24	120	RM	44	4224	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	MeadowV	Norm	Norm	TwnhsE	1Story	5	7	1976	1976	Gable	CompShg	CemntBd	CmentBd	None	0	TA	TA	PConc	Gd	TA	No	GLQ	840	Unf	0	200	1040	GasA	TA	Y	SBrkr	1060	0	0	1060	1	0	1	0	3	1	TA	6	Typ	1	TA	Attchd	1976	Unf	2	572	TA	TA	Y	100	110	0	0	0	0	NA	NA	NA	0	6	2007	WD	Normal	129900	4.787491743	8.348537825	6.733401892			1.791759469	0.693147181	4.605170186	4.700480366			10.95445115	8.34877454	28.98275349			0	2.449489743	10	10.48808848	0	0	1.414213562		0.070719745	0.170832281	0.501568567	0.033076669	0.058586635	0.165216103	PConc
25	20	RL	NA	8246	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	8	1968	2001	Gable	CompShg	Plywood	Plywood	None	0	TA	Gd	CBlock	TA	TA	Mn	Rec	188	ALQ	668	204	1060	GasA	Ex	Y	SBrkr	1060	0	0	1060	1	0	1	0	3	1	Gd	6	Typ	1	TA	Attchd	1968	Unf	1	270	TA	TA	Y	406	90	0	0	0	0	NA	MnPrv	NA	0	5	2010	WD	Normal	154000	2.995732274	9.017483513	5.236441963			1.791759469	0	6.00635316	4.49980967			4.472135955	9.017604777	13.7113092			0	2.449489743	20.14944168	9.486832981	0	0	1		0.270526627	0.321109541	0.208945613	0.057205601	0.086358147	0.055854472	CBlock
26	20	RL	11	14230	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2007	2007	Gable	CompShg	VinylSd	VinylSd	Stone	640	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1566	1566	GasA	Ex	Y	SBrkr	1600	0	0	1600	0	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2007	RFn	3	890	TA	TA	Y	0	56	0	0	0	0	NA	NA	NA	0	7	2009	WD	Normal	256300	2.995732274	9.563107691				1.945910149	1.098612289		4.025351691			4.472135955	9.563177963	0			0	2.645751311	0	7.483314774	0	0	1.732050808		0.09646713	0.089727545	0.416992759	0.248045447	0.077349818	0.071417302	PConc
27	20	RL	60	7200	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	NAmes	Norm	Norm	1Fam	1Story	5	7	1951	2000	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	CBlock	TA	TA	Mn	BLQ	234	Rec	486	180	900	GasA	TA	Y	SBrkr	900	0	0	900	0	1	1	0	3	1	Gd	5	Typ	0	NA	Detchd	2005	Unf	2	576	TA	TA	Y	222	32	0	0	0	0	NA	NA	NA	0	5	2010	WD	Normal	134800	2.995732274	8.881836305	5.455321115		0	1.609437912	0.693147181	5.402677382	3.465735903			4.472135955	8.881975184	15.29705854			1	2.236067978	14.89966443	5.65685425	0	0	1.414213562		0.126705317	0.510381217	0.249973544	0.06504685	0.011837548	0.036055525	CBlock
28	20	RL	98	11478	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2007	2008	Gable	CompShg	VinylSd	VinylSd	Stone	200	Gd	TA	PConc	Ex	TA	No	GLQ	1218	Unf	0	486	1704	GasA	Ex	Y	SBrkr	1704	0	0	1704	1	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2008	RFn	3	772	TA	TA	Y	0	50	0	0	0	0	NA	NA	NA	0	5	2010	WD	Normal	306000	2.995732274	9.348187439	7.104965448			1.945910149	1.098612289		3.912023005			4.472135955	9.348274558	34.89985673			0	2.645751311	0	7.071067812	0	0	1.732050808		0.019035702	0.091712279	0.320220707	0.015093763	0.005448007	0.548489543	Wood
29	20	RL	47	16321	Pave	NA	IR1	Lvl	AllPub	CulDSac	Gtl	NAmes	Norm	Norm	1Fam	1Story	5	6	1957	1997	Gable	CompShg	MetalSd	MetalSd	None	0	TA	TA	CBlock	TA	TA	Gd	BLQ	1277	Unf	0	207	1484	GasA	TA	Y	SBrkr	1600	0	0	1600	1	0	1	0	2	1	TA	6	Typ	2	Gd	Attchd	1957	RFn	1	319	TA	TA	Y	288	258	0	0	0	0	NA	NA	NA	0	12	2006	WD	Normal	207500	2.995732274	9.700207901	7.152268856			1.791759469	0	5.66296048	5.552959585			4.472135955	9.70026917	35.73513677			0	2.449489743	16.97056275	16.0623784	0	0	1		0.093379022	0.444194628	0.343055349	0.003447767	0.025880239	0.090042996	CBlock
30	30	RM	60	6324	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	BrkSide	Feedr	RRNn	1Fam	1Story	4	6	1927	1950	Gable	CompShg	MetalSd	MetalSd	None	0	TA	TA	BrkTil	TA	TA	No	Unf	0	Unf	0	520	520	GasA	Fa	N	SBrkr	520	0	0	520	0	0	1	0	1	1	Fa	4	Typ	0	NA	Detchd	1920	Unf	1	240	Fa	TA	Y	49	0	87	0	0	0	NA	NA	NA	0	5	2008	WD	Normal	68500	3.401197382	8.752107198				1.386294361	0	3.891820298				5.477225575	8.752265314	0			0	2	7	0	0	0	1		0.295716165	0.304700723	0.063426095	0.291706342	0.014230914	0.030219762	CBlock
31	70	C	50	8500	Pave	Pa	Reg	Lvl	AllPub	Inside	Gtl	IDOTRR	Feedr	Norm	1Fam	2Story	4	4	1920	1950	Gambr	CompShg	BrkFace	BrkFace	None	0	TA	Fa	BrkTil	TA	TA	No	Unf	0	Unf	0	649	649	GasA	TA	N	SBrkr	649	668	0	1317	0	0	1	0	3	1	TA	6	Typ	0	NA	Detchd	1920	Unf	1	250	TA	Fa	N	0	54	172	0	0	0	NA	MnPrv	NA	0	7	2008	WD	Normal	40000	4.248495242	9.047821443				1.791759469	0		3.988984047			8.366600265	9.047939083	0			0	2.449489743	0	7.348469228	0	0	1		0.341499179	0.1847451	0.067424597	0.260976069	0.121073489	0.024281567	BrkTil
32	20	RL	NA	8544	Pave	NA	IR1	Lvl	AllPub	CulDSac	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	6	1966	2006	Gable	CompShg	HdBoard	HdBoard	None	0	TA	TA	CBlock	TA	TA	No	Unf	0	Unf	0	1228	1228	GasA	Gd	Y	SBrkr	1228	0	0	1228	0	0	1	1	3	1	Gd	6	Typ	0	NA	Attchd	1966	Unf	1	271	TA	TA	Y	0	65	0	0	0	0	NA	MnPrv	NA	0	6	2008	WD	Normal	149350	2.995732274	9.052984561				1.791759469	0		4.17438727			4.472135955	9.053101596	0			0	2.449489743	0	8.062257748	0	0	1		0.380253644	0.218751715	0.06532017	0.230625823	0.081160806	0.023887842	BrkTil
33	20	RL	85	11049	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	CollgCr	Norm	Norm	1Fam	1Story	8	5	2007	2007	Gable	CompShg	VinylSd	VinylSd	None	0	Gd	TA	PConc	Ex	TA	Av	Unf	0	Unf	0	1234	1234	GasA	Ex	Y	SBrkr	1234	0	0	1234	0	0	2	0	3	1	Gd	7	Typ	0	NA	Attchd	2007	RFn	2	484	TA	TA	Y	0	30	0	0	0	0	NA	NA	NA	0	1	2008	WD	Normal	179900	2.995732274	9.310095205				1.945910149	0.693147181		3.401197382			4.472135955	9.310185707	0			0	2.645751311	0	5.477225575	0	0	1.414213562		0.221977903	0.144459256	0.151885542	0.317122054	0.100965991	0.063589253	Slab
